index,yearly_ind_benefi_per_1000,yearly_household_benefi_per_1000
2_BX 01,975.070220881559,516.8147589538454
2_BX 02,852.2757723079278,459.6141331393791
2_BX 03,1039.1414458012587,554.0608309721421
2_BX 04,786.692251486947,427.6807724612642
2_BX 05,873.814352574103,469.82059282371296
2_BX 06,935.8336936157948,496.6854013546621
2_BX 07,666.2119667446837,369.9438565254225
2_BX 08,320.2072131405373,190.44342432493536
2_BX 09,612.6594620947428,331.948136368385
2_BX 10,291.11568875008305,175.93361685161804
2_BX 11,419.99611417267204,242.07821110640103
2_BX 12,486.53704773407554,264.4672583101402
3_BK 01,596.9737062565359,233.77801401639675
3_BK 02,269.99407731612075,179.447283094251
3_BK 03,581.9001862927738,309.9519560741249
3_BK 04,446.91656160661967,266.4470763712556
3_BK 05,685.6136820925553,382.6436882162541
3_BK 06,188.3792224164112,123.03622420231308
3_BK 07,354.3690089519132,203.24803929335343
3_BK 08,431.45031510532925,271.19823084190745
3_BK 09,422.3653598024972,251.87698747320403
3_BK 10,272.88719666481916,156.26832461784386
3_BK 11,402.8717283672471,233.27710035663063
3_BK 12,643.5871712073235,209.97794985944344
3_BK 13,618.8265981319166,403.70931548361114
3_BK 14,397.1704924563063,228.24030274361402
3_BK 15,353.60476041340434,215.54650798621986
3_BK 16,844.6708608965166,465.00439468936486
3_BK 17,391.4667765954706,242.16757272048025
3_BK 18,286.94398660762727,170.2929064858972
1_MN 01,71.1076125815868,56.44658729377809
1_MN 02,67.84349448986848,53.47938144329897
1_MN 03,453.31553127507243,304.7642962572806
1_MN 04,224.64041842219962,168.73456341711463
1_MN 05,192.42157412962283,137.0928724865984
1_MN 06,69.29839924340607,59.64482118462994
1_MN 07,155.75558148877963,116.80472919974747
1_MN 08,50.54565296471444,40.07821025827574
1_MN 09,407.2944742406505,263.91876071982796
1_MN 10,580.429128176767,364.29231872661444
1_MN 11,704.9729900175088,435.47062093916736
1_MN 12,498.5212082938638,335.13840648352806
4_QN 01,234.02841369927526,139.0178174302085
4_QN 02,190.20318021201413,118.24204946996467
4_QN 03,295.9388259430223,168.1587168368536
4_QN 04,305.82625522891345,175.26274927867067
4_QN 05,216.67356226727347,124.74732549205035
4_QN 06,177.4194972496181,122.4471776578931
4_QN 07,209.68328791933826,136.87670302481465
4_QN 08,231.6702733824376,137.9883129173367
4_QN 09,307.716460712965,173.9500547736835
4_QN 10,260.50687930978137,154.23706657080297
4_QN 11,109.93635715574031,74.24998496963866
4_QN 12,389.2412767407788,231.86186199478573
4_QN 13,201.22167842921,127.71948057457064
4_QN 14,502.2613021621528,269.4950338325593
5_SI 01,423.9115592070826,222.8657912105419
5_SI 02,211.45731536404475,125.3835140110452
5_SI 03,122.67725283847973,77.78589217834204
