communitydistrict_index,pop_under_18,pop_over_65,white_alone,black_alone,hispanic,asian_alone,other_race_alone
1__01,19724,19926,111981,4395,10469,23956,703
1__02,19724,19926,111981,4395,10469,23956,703
1__03,17670,27671,51603,12980,38899,47412,270
1__04,12663,20752,91370,8077,23906,26538,885
1__05,12663,20752,91370,8077,23906,26538,885
1__06,12982,26775,102427,5004,10710,24337,667
1__07,30218,40322,133011,11477,28962,17905,907
1__08,31369,44862,162173,4953,20847,22000,332
1__09,19528,16096,35763,27879,50196,11341,453
1__10,27983,14286,19430,75892,32717,4721,310
1__11,25382,16125,17043,38526,56747,9570,715
1__12,38297,31099,41825,17591,151529,6746,737
2__01,44113,13908,3195,46294,105715,1151,502
2__02,44113,13908,3195,46294,105715,1151,502
2__03,49063,16112,6984,52953,108676,1733,396
2__04,39048,14100,2864,41510,93615,1907,761
2__05,39993,11263,1556,36875,95667,1692,508
2__06,49063,16112,6984,52953,108676,1733,396
2__07,34874,12736,7655,19664,94474,7443,654
2__08,23208,20830,35413,13220,53569,4785,938
2__09,46080,23341,5507,53878,109427,13757,1711
2__10,23677,24157,33484,34048,47911,3693,1252
2__11,28883,18609,28102,27656,60748,10089,913
2__12,33373,19630,9466,96473,35018,4668,1168
3__01,35528,15431,101640,7260,37007,11231,490
3__02,25277,15076,65528,35483,20568,13074,965
3__03,37278,14800,38199,72789,27898,4771,167
3__04,26758,11886,24837,23907,72011,6699,701
3__05,41208,18317,6146,82744,60310,6543,1304
3__06,25209,12351,76170,8590,19447,8312,1017
3__07,34565,14830,35362,3722,57373,45066,645
3__08,25371,14796,29237,76545,15757,4940,774
3__09,23426,15118,25011,70409,9150,2065,672
3__10,24197,20395,67476,2651,20522,30031,252
3__11,40282,29503,76189,1853,30093,77193,433
3__12,58405,19126,112862,3345,16409,22749,339
3__13,22744,27238,63800,12244,19721,14810,416
3__14,40565,21087,65904,49503,24171,17207,818
3__15,33295,27704,99365,6208,14971,26619,188
3__16,28550,13446,3057,84409,26245,1585,511
3__17,28706,21474,3931,117239,10323,1842,499
3__18,48780,31026,47592,129161,18024,10364,1043
4__01,24269,21823,80691,11185,44527,25858,900
4__02,23032,17239,39760,2061,43578,48681,485
4__03,38331,21900,18025,8610,114938,28567,356
4__04,31676,17057,8776,8975,73990,46066,619
4__05,40307,22851,95081,2568,67513,15545,571
4__06,19984,23742,55342,3586,18042,34496,204
4__07,43357,47029,62488,4846,43790,129667,864
4__08,33562,24412,48861,19350,32390,55805,2186
4__09,32491,17999,26898,8187,63425,39026,6381
4__10,28360,19259,29420,19218,35257,32399,13832
4__11,21997,24496,47225,2289,13392,54338,232
4__12,53558,31718,4260,147480,37851,30170,12457
4__13,40278,33784,22069,112924,25398,31069,4684
4__14,34301,17779,43125,45041,30102,4819,1061
5__01,39702,22457,64869,36557,51013,14643,511
5__02,29476,23150,90476,5610,19029,18880,258
5__03,35325,27718,137015,1739,16934,7423,257
