communitydistrict_index,num_employed,num_unemployed,hh_inc<10K,hh_inc10-14K,hh_inc15-24K,hh_inc25-34K,hh_inc35-49K,hh_inc50-74K,hh_inc75-99K,hh_inc100-149K,hh_inc150-199K,hh_inc>200K,hh_with_snap_past12mos,num_eployed_info_sector,num_eployed_fire_sector,num_eployed_sciences_waste_sector,num_eployed_educhealthsocial_sector,num_eployed_artsentertainmentfoood_sector,num_eployed_other_sector,num_eployed_publicadmin_sector
1__01,97888,3983,3470,1976,3358,2755,4030,6605,6340,12171,8739,28196,2923,7529,22910,26612,15540,8072,2696,1588
1__02,97888,3983,3470,1976,3358,2755,4030,6605,6340,12171,8739,28196,2923,7529,22910,26612,15540,8072,2696,1588
1__03,74614,5011,9411,7644,8673,6103,6699,8499,5740,8218,3845,7000,18426,5117,8477,16141,15292,10602,3336,1667
1__04,102855,5031,6564,3860,5820,4565,5384,8410,7663,13055,8993,23598,7455,8470,23020,25287,14924,10024,3503,2221
1__05,102855,5031,6564,3860,5820,4565,5384,8410,7663,13055,8993,23598,7455,8470,23020,25287,14924,10024,3503,2221
1__06,95339,3325,3642,2231,3867,3192,4814,9007,7522,13376,9287,23201,2263,6514,21410,25325,17204,5973,3455,2908
1__07,110603,5580,6223,3364,5201,4754,5362,9564,8525,14956,9972,30191,6600,8180,20580,26138,26777,8727,3737,2727
1__08,127749,3740,4793,2192,5121,4140,6094,13365,12167,18491,11228,34603,3343,8855,28364,27523,30016,7137,4899,3036
1__09,63231,4263,6107,3677,4320,4393,4780,6392,4845,5565,2535,4542,9597,3307,4698,8243,19677,10485,3611,1386
1__10,64814,6935,6994,5908,5775,4673,5803,8110,5647,6751,2897,4305,11716,2751,6102,9218,17890,8632,3394,3015
1__11,49812,5429,8313,5928,6719,4593,5387,6827,4366,3522,1708,2622,14894,1861,4160,6129,14468,7290,2715,1910
1__12,110903,11400,7005,5857,8481,6966,8773,13100,9062,10246,3788,3022,24313,3862,7125,13029,30731,18670,8309,2202
2__01,54071,7212,10762,6985,8024,6180,7041,5353,3323,2305,760,616,26132,640,3246,5044,15323,9049,3086,1555
2__02,54071,7212,10762,6985,8024,6180,7041,5353,3323,2305,760,616,26132,640,3246,5044,15323,9049,3086,1555
2__03,62332,9995,11247,7781,9520,6643,7495,7559,3534,2983,714,606,29769,907,3334,5523,20423,7694,4006,1610
2__04,57839,6781,8088,5738,7767,6139,6615,7269,4017,2851,695,614,22022,775,3318,5261,17475,8505,3445,1720
2__05,53784,7413,7957,6542,7517,4785,6530,6138,3290,2101,712,286,23376,758,3333,4476,16421,7535,3238,1343
2__06,62332,9995,11247,7781,9520,6643,7495,7559,3534,2983,714,606,29769,907,3334,5523,20423,7694,4006,1610
2__07,58304,7561,5973,4566,6307,5481,6278,7862,4246,2990,838,614,19167,665,3563,4925,16423,9084,4268,1115
2__08,51298,4416,3244,2549,4517,3069,4360,7103,5327,5980,2975,3377,8676,1459,4727,6130,17670,6021,2809,2293
2__09,77274,8850,8012,5430,8523,7294,8344,11444,6316,6769,1890,1246,21516,1209,4622,6464,24638,9136,3798,2957
2__10,56227,4479,3166,3131,4274,4307,5780,7849,6569,7373,3430,2157,7039,1432,4152,5212,20699,5191,2541,3952
2__11,58034,6227,4328,3275,4736,3807,6001,7937,4999,5848,2305,1713,10973,1018,3620,4802,19219,5691,2805,2065
2__12,67914,7468,4790,3387,4915,5039,6063,8964,5504,6653,2548,1930,12703,1153,4000,5900,25713,5700,3734,3321
3__01,86309,4761,5094,4422,6127,4686,5522,7652,7267,9846,5523,8923,12632,7921,7547,19950,15751,9954,3670,2149
3__02,77640,5459,4738,2525,3756,3647,4475,6387,6394,9907,6563,12303,8336,6374,8665,18425,16902,7059,3541,3175
3__03,66641,6410,6462,4471,5999,4819,5648,7483,5619,6271,3047,3417,15852,3716,4084,9846,17815,7998,3407,2841
3__04,66518,6002,5608,3890,5262,4077,5305,6734,4882,6243,2674,1983,14535,4129,3054,10054,13111,10391,3702,1678
3__05,63823,5380,8834,4547,6667,5860,7545,8430,5558,5188,1877,1254,17882,842,3322,6306,19459,5433,3341,3291
3__06,68091,3848,3016,1551,1793,1998,2772,4575,5033,8456,6761,13406,4105,7217,7145,17269,14629,6486,2786,2266
3__07,69403,4272,2786,2915,5058,4142,5518,7609,5179,5883,2522,3567,11131,2717,3549,8246,13995,14054,5058,1739
3__08,67936,4993,6780,3853,5096,4354,6156,7305,5576,7292,3461,4298,12632,4326,4566,11722,20103,6736,4594,2619
3__09,53048,4756,3787,2842,4202,4254,5833,7384,5207,5182,1907,1835,9150,2150,3895,6782,18444,4489,3062,2249
3__10,60134,3933,3130,2274,4592,3966,4720,7567,5318,8013,3479,4976,6237,2055,6431,7235,15881,6511,3105,2665
3__11,87755,6296,4105,4204,7804,5996,8125,9767,7603,8631,4150,3259,15061,2065,6690,8469,22139,10197,4950,2510
3__12,58589,3359,2887,3710,6163,5060,5452,6615,4480,5468,2276,2584,12590,1463,4121,5736,18666,5639,3040,1113
3__13,44934,4252,4740,6428,6313,4254,5047,6199,4156,4698,1995,1734,16618,672,3816,4490,14937,3527,2249,1563
3__14,74217,5441,4394,4288,5644,5331,6535,10569,6646,7251,3177,3665,13427,2539,5651,8356,24847,6910,3479,2378
3__15,68267,4494,3639,4020,5525,4816,6390,8341,6505,8709,3956,4449,10340,1927,5946,7138,20862,5250,3133,2510
3__16,43416,6403,10929,4333,5553,4475,5930,6100,3111,3115,1052,681,18636,909,1901,4419,14705,3721,2647,2480
3__17,64877,4807,4141,2508,4973,5324,6989,8988,5985,6720,2288,1900,9870,1036,3488,6337,25621,4142,4075,3075
3__18,98322,6910,3477,2662,4964,5025,7647,10669,9968,12744,6427,5270,9682,2186,6745,8475,38612,6290,3510,5587
4__01,95349,6478,4617,3781,7004,5856,7864,11748,8995,11938,5457,4360,9244,5337,8816,15052,19204,14688,5272,2679
4__02,77469,3382,1979,2012,3895,4856,6836,10171,6718,8152,3985,4551,3746,2958,6867,11601,12981,11712,4812,2577
4__03,85948,4800,2760,2302,5275,5846,7751,10145,6872,7015,2932,2243,9299,1616,4596,8817,13632,15906,7782,2177
4__04,69677,3480,3122,1783,5035,5076,6728,8330,5155,4870,1643,1054,9305,1292,3360,6867,12186,14022,5916,1702
4__05,92687,4889,3234,2140,4473,4694,6709,10396,9169,12118,5269,3728,4544,2200,7562,10622,21115,10469,5774,3478
4__06,59693,2761,3411,2312,4342,3391,4472,8255,6826,9006,4937,5165,4994,2108,7848,10227,15709,4110,3743,2290
4__07,113223,5130,6880,4673,9833,9019,10438,13603,9887,11938,5746,4975,10460,2390,9565,11534,23825,15382,11043,3487
4__08,77732,6923,3179,2120,5008,4997,6326,9620,7178,8713,4471,3940,6183,1727,7216,6907,21924,7975,5289,3429
4__09,72874,5083,2263,1428,3608,3764,4978,8207,6435,7464,3424,2579,6513,1405,4826,8086,16356,7875,4690,2846
4__10,64733,5321,2028,1357,3040,2903,4690,6383,5203,6949,3774,3114,5690,1374,5474,6024,16500,5471,3315,2906
4__11,58804,2682,1846,964,2706,3126,4041,7463,5398,9287,4443,4408,2506,1657,6372,6772,14656,4741,3915,2731
4__12,113508,11253,3977,3526,6263,5820,9244,13758,9728,11751,4863,3204,13351,2390,6827,9357,34968,9738,5171,7515
4__13,99603,7386,2215,1984,3206,4118,5562,9152,9464,12901,7156,5014,6258,1871,6522,8873,33730,6918,3937,7035
4__14,50947,4814,4119,2854,4108,3644,5076,6888,4446,5217,3056,2713,11634,894,3185,5177,18212,3668,2987,3029
5__01,74173,4035,8533,2429,4661,4113,5544,8145,7146,10000,5643,4319,12533,1728,5789,8349,22477,6259,3239,5504
