,Region Display,Region ID,Region Name,communitydistrict_index,med_r_1f_18,med_r_4f_18,med_r_cn_18,med_r_ot_18,rent_asking_med_18,crime_all_rt_19,shd_ph_props_20,2010 Population_PRELOCKDOWN,PAPERTONSCOLLECTED_PERCAPITA_PRELOCKDOWN,MGPTONSCOLLECTED_PERCAPITA_PRELOCKDOWN,REFUSETONSCOLLECTED_PERCAPITA_PRELOCKDOWN,2010 Population_POSTLOCKDOWN,PAPERTONSCOLLECTED_PERCAPITA_POSTLOCKDOWN,MGPTONSCOLLECTED_PERCAPITA_POSTLOCKDOWN,REFUSETONSCOLLECTED_PERCAPITA_POSTLOCKDOWN,yearly_ind_benefi_per_1000_2019,yearly_household_benefi_per_1000_2019,yearly_ind_benefi_per_1000_2020,yearly_household_benefi_per_1000_2020
0,BX 01,101,Mott Haven/Melrose,1__01,8000000.0,4250000.0,1900000.0,732390.0,4000.0,17.6,0.0,60978,0.17256715536750958,0.1045754206435108,0.5848650332906951,60978,0.0446013316278002,0.03299058676899865,0.16237331496605334,143.0187936632884,115.86145823083734,110.81045623011578,88.5729279412247
1,BX 02,102,Hunts Point/Longwood,1__02,9842890.0,3935170.0,3225000.0,722320.0,3660.0,26.7,0.0,90016,0.13588473160327053,0.09524084607180948,0.5540992712406683,90016,0.03488935300391042,0.028364957340917176,0.1568921080696765,122.42268041237114,99.41565943832208,94.8053679345894,77.16405972271595
2,BX 03,103,Morrisania/Crotona,1__03,5472400.0,1137500.0,1588470.0,612500.0,3150.0,14.5,36.0,163277,0.05374853776098286,0.05049700815179112,0.4722655364809496,163277,0.01704526663277743,0.017347207506262362,0.1428847908768534,865.7312419997917,593.4883663957569,672.4217127948211,462.34313467297903
3,BX 04,104,Highbridge/Concourse,1__04,5925000.0,1656250.0,1550000.0,398130.0,3470.0,23.5,11.0,103245,0.12780667344665606,0.09974526611458183,0.5964802169596591,103245,0.03652089689573345,0.03309022228679355,0.18110804397307376,442.04561964259767,331.6673930940965,358.2546370284275,268.9524916460845
4,BX 05,105,Fordham/University Heights,1__05,,,2036500.0,917400.0,4000.0,90.9,0.0,51673,0.14542604454937785,0.09092562847134866,0.6582470535869798,51673,0.039566117701701084,0.02870744876434501,0.18648230216941147,428.7345422174057,292.9963423838368,346.7187893096975,238.90619859501086
5,BX 06,106,Belmont/East Tremont,1__06,8450000.0,1950000.0,1205000.0,628970.0,3300.0,12.4,3.0,142745,0.1047609373358086,0.07638726400224176,0.5204777750534171,142745,0.02858664051280255,0.0245493712564363,0.15002627062243862,139.58457389050406,120.75379172650531,110.49774072647028,95.02959823461416
6,BX 07,107,Kingsbridge Heights/Bedford,1__07,11927500.0,1855830.0,1608890.0,526920.0,3200.0,8.5,22.0,209084,0.14258336362418933,0.09665971571234527,0.5976043121424882,209084,0.0374060186336592,0.030094603126016337,0.1674618813491228,299.5972910409214,225.2683132138279,237.5361098888485,176.49365805130955
7,BX 08,108,Riverdale/Fieldston,1__08,11150000.0,2245990.0,1650000.0,647060.0,2770.0,9.8,3.0,219920,0.14323663150236454,0.09488859585303748,0.6105088213895963,219920,0.03697662786467807,0.029128774099672614,0.1647967442706439,96.13041105856676,76.73699527100763,77.23263004728993,60.744816296835225
8,BX 09,109,Parkchester/Soundview,1__09,1662500.0,850000.0,596500.0,305840.0,2600.0,12.5,8.0,110193,0.06535170110624088,0.06257657019955895,0.5248763533073788,110193,0.02055575218026553,0.022552249235432385,0.16895084079750985,756.0462098318402,498.05341537121234,599.3847159075441,395.27011697657736
9,BX 10,110,Throgs Neck/Co-op City,1__10,2387500.0,700000.0,870000.0,340000.0,2430.0,16.6,63.0,115723,0.060533342550746175,0.058005755122145126,0.609042282000985,115723,0.020507591403610345,0.02095175548508075,0.1959705503659601,1056.246381445348,678.1106608020878,801.4655686423614,519.1189305496746
