,Region Display,Region ID,Region Name,communitydistrict_index,med_r_1f_18,med_r_4f_18,med_r_cn_18,med_r_ot_18,rent_asking_med_18,crime_all_rt_19,shd_ph_props_20
0,BX 01,101,Mott Haven/Melrose,1__01,8000000.0,4250000.0,1900000.0,732390.0,4000.0,17.6,0.0
1,BX 02,102,Hunts Point/Longwood,1__02,9842890.0,3935170.0,3225000.0,722320.0,3660.0,26.7,0.0
2,BX 03,103,Morrisania/Crotona,1__03,5472400.0,1137500.0,1588470.0,612500.0,3150.0,14.5,36.0
3,BX 04,104,Highbridge/Concourse,1__04,5925000.0,1656250.0,1550000.0,398130.0,3470.0,23.5,11.0
4,BX 05,105,Fordham/University Heights,1__05,,,2036500.0,917400.0,4000.0,90.9,0.0
5,BX 06,106,Belmont/East Tremont,1__06,8450000.0,1950000.0,1205000.0,628970.0,3300.0,12.4,3.0
6,BX 07,107,Kingsbridge Heights/Bedford,1__07,11927500.0,1855830.0,1608890.0,526920.0,3200.0,8.5,22.0
7,BX 08,108,Riverdale/Fieldston,1__08,11150000.0,2245990.0,1650000.0,647060.0,2770.0,9.8,3.0
8,BX 09,109,Parkchester/Soundview,1__09,1662500.0,850000.0,596500.0,305840.0,2600.0,12.5,8.0
9,BX 10,110,Throgs Neck/Co-op City,1__10,2387500.0,700000.0,870000.0,340000.0,2430.0,16.6,63.0
10,BX 11,111,Morris Park/Bronxdale,1__11,3500000.0,660000.0,743580.0,245450.0,2380.0,16.0,37.0
11,BX 12,112,Williamsbridge/Baychester,1__12,2012500.0,775000.0,544730.0,239750.0,2100.0,10.2,21.0
12,BK 01,201,Greenpoint/Williamsburg,2__01,475000.0,280000.0,433000.0,183890.0,2000.0,24.0,20.0
13,BK 02,202,Fort Greene/Brooklyn Heights,2__02,437000.0,233330.0,206250.0,189920.0,1600.0,17.6,23.0
14,BK 03,203,Bedford Stuyvesant,2__03,449950.0,221670.0,280000.0,167740.0,1950.0,18.5,27.0
15,BK 04,204,Bushwick,2__04,442500.0,218330.0,190000.0,177780.0,1750.0,15.4,26.0
16,BK 05,205,East New York/Starrett City,2__05,385000.0,247500.0,,134210.0,1700.0,13.4,11.0
17,BK 06,206,Park Slope/Carroll Gardens,2__06,387500.0,235000.0,250230.0,190630.0,1750.0,15.6,3.0
18,BK 07,207,Sunset Park,2__07,457000.0,275000.0,175000.0,187960.0,1700.0,12.9,1.0
19,BK 08,208,Crown Heights/Prospect Heights,2__08,787500.0,328330.0,646400.0,187500.0,2000.0,9.1,5.0
20,BK 09,209,South Crown Heights/Lefferts Gardens,2__09,405000.0,230000.0,156750.0,147220.0,1650.0,10.2,23.0
21,BK 10,210,Bay Ridge/Dyker Heights,2__10,490000.0,291250.0,449500.0,189350.0,1850.0,9.2,8.0
22,BK 11,211,Bensonhurst,2__11,500000.0,275000.0,190000.0,188540.0,1650.0,9.5,7.0
23,BK 12,212,Borough Park,2__12,400000.0,237590.0,187000.0,163330.0,1750.0,12.7,4.0
24,MN 01,301,Financial District,3__01,1840000.0,735620.0,962000.0,349480.0,2950.0,11.4,35.0
25,MN 02,302,Greenwich Village/Soho,3__02,3647220.0,1075000.0,1315000.0,425340.0,3070.0,20.9,8.0
26,MN 03,303,Lower East Side/Chinatown,3__03,994500.0,500000.0,750000.0,307810.0,2500.0,18.1,38.0
27,MN 04,304,Clinton/Chelsea,3__04,732500.0,469580.0,580000.0,287500.0,2600.0,13.8,22.0
28,MN 05,305,Midtown,3__05,435000.0,280000.0,320000.0,162670.0,2100.0,18.2,28.0
29,MN 06,306,Stuyvesant Town/Turtle Bay,3__06,3300000.0,1000000.0,1346590.0,450000.0,2900.0,8.8,7.0
30,MN 07,307,Upper West Side,3__07,1450000.0,625000.0,793500.0,301670.0,2400.0,9.1,0.0
31,MN 08,308,Upper East Side,3__08,981500.0,500000.0,1081780.0,316520.0,2570.0,10.3,35.0
