,communitydistrict_index,2010 Population,PAPERTONSCOLLECTED_PERCAPITA,MGPTONSCOLLECTED_PERCAPITA,REFUSETONSCOLLECTED_PERCAPITA
0,1__01,60978,0.17256715536750958,0.10457542064351079,0.5848650332906951
1,1__10,115723,0.06053334255074617,0.05800575512214513,0.609042282000985
2,1__11,120511,0.04751682419032286,0.04138460389508013,0.49114188746255527
3,1__12,190020,0.06266077255025787,0.06881012524997368,0.6500599936848752
4,1__02,90016,0.13588473160327053,0.09524084607180947,0.5540992712406683
5,1__03,163277,0.05374853776098286,0.05049700815179112,0.4722655364809496
6,1__04,103245,0.12780667344665603,0.09974526611458182,0.5964802169596591
7,1__05,51673,0.14542604454937783,0.09092562847134866,0.6582470535869798
8,1__06,142745,0.1047609373358086,0.07638726400224176,0.520477775053417
9,1__07,209084,0.14258336362418933,0.09665971571234527,0.5976043121424882
10,1__08,219920,0.14323663150236454,0.09488859585303748,0.6105088213895963
11,1__09,110193,0.06535170110624088,0.06257657019955895,0.5248763533073788
12,2__01,91497,0.03404592500300557,0.03999256806234084,0.5478605855929702
13,2__10,120392,0.06699033158349393,0.08703734467406471,0.5329764436175161
14,2__11,113232,0.06758160237388723,0.07674685601243465,0.6771407376006783
15,2__12,152344,0.06372289030089798,0.09479401879955889,0.62572927059812
16,2__02,52246,0.05165945718332504,0.0756115300692876,0.7419323967385062
17,2__03,79762,0.041645144304305305,0.05954464531982648,0.6260813419924276
18,2__04,146441,0.04208862272177874,0.06131342998204053,0.7094939258814131
19,2__05,128200,0.04058346333853355,0.06403978159126365,0.6981053042121684
20,2__06,83268,0.04379593601383484,0.060515444108180806,0.6844946438007398
21,2__07,139286,0.05229384144853036,0.08188044742472324,0.6834197263185101
22,2__08,101731,0.08489545959442056,0.09217347711120505,0.589256961987988
23,2__09,172298,0.03264286294675504,0.050759149845035934,0.5691766590442141
24,3__01,173083,0.09523350069042019,0.07140158190001329,0.7926913677253109
25,3__10,124491,0.10479070776200687,0.09305973925825967,0.6620285803793046
26,3__11,181981,0.0861232766057995,0.07409399882405307,0.7012517790318769
27,3__12,191382,0.08823034559153944,0.058307991347148626,0.8179149554294551
28,3__13,104278,0.046398089721705435,0.05485624964038436,0.5058497477895626
29,3__14,160664,0.07835607229995516,0.061264502315391135,0.7620201165164567
30,3__15,159650,0.09501033510804885,0.07906482931412465,0.7167892264328218
31,3__16,86468,0.03332562335199149,0.04707984456677616,0.6353009205717722
32,3__17,155252,0.05197163321567516,0.07235397933682013,0.727436039471311
33,3__18,193543,0.07549175118707471,0.07984168892700845,0.7319820401667847
34,3__02,99617,0.1366543862995272,0.10255076944698195,0.6423853358362529
35,3__03,152985,0.06337287969408766,0.0612563323201621,0.6901258293296728
36,3__04,112634,0.0608679439600831,0.08288971358559583,0.6919846582737007
37,3__05,182896,0.036922075933864054,0.05625328055288251,0.6466303254308461
38,3__06,104709,0.1425751368077243,0.10435015137189733,0.5231861635580514
39,3__07,126230,0.08628218331616888,0.08260556127703397,0.6594969500118831
40,3__08,96317,0.07992670037480402,0.07411152756003614,0.719065170219172
41,3__09,98429,0.07158560993203222,0.0616830405673125,0.7881904723201497
42,4__01,191105,0.08239868135318278,0.0835179613301588,0.5315088563878497
43,4__10,122396,0.08006552501715743,0.102848949312069,0.7773701754959312
44,4__11,116431,0.10606539495495185,0.09454784378730752,0.6197430237651482
45,4__12,225919,0.05417782479561259,0.09443738685103951,0.7657421465215408
46,4__13,188593,0.06592715530268886,0.10706441914599163,0.6926656874857499
47,4__14,114978,0.05728661135173685,0.059856668232183545,0.6614978517629458
48,4__02,113200,0.09833922261484099,0.08913427561837456,0.6763303886925794
49,4__03,171576,0.05662446962279107,0.07087063458758802,0.7339657061593696
50,4__04,172598,0.050687725234359625,0.06138367767876802,0.5974090082156225
51,4__05,169190,0.09572906200130032,0.10879839233997282,0.7169779537797742
52,4__06,113257,0.0959198989907909,0.08195873102766274,0.6349091005412468
53,4__07,247354,0.08480194377289228,0.07437235702677135,0.6559857532119956
54,4__08,151107,0.0787647163930195,0.06785655197972298,0.6106335245885366
55,4__09,143317,0.08037497296203522,0.0937878967603285,0.693037811285472
56,5__01,175756,0.09243667357017683,0.09813719019549828,0.7501149320649082
57,5__02,132003,0.10949220851041266,0.10138405945319424,0.8253683628402384
58,5__03,160209,0.12514777571796842,0.11519577551822928,0.9208646205893549
