communitydistrict_index,Change_Diversion_Rate_PostLockdown
1__01,0.004018058871738839
1__02,-0.013963730812432573
1__03,0.019970698998243386
1__04,0.0028764398241648004
1__05,0.007082587539652574
1__06,0.006133438432932625
1__07,0.0027406605705959097
1__08,0.01109166564596975
1__09,0.011422479963798693
1__10,0.016931078442503078
1__11,0.01365399807428691
1__12,0.011880414496480196
2__01,0.01075716582213243
2__02,0.014213215302639692
2__03,0.03577996243679746
2__04,0.028067882733429722
2__05,0.03107932955016554
2__06,0.03226404586907483
2__07,0.03998236063568045
2__08,0.012565496060490289
2__09,0.028660523249182446
2__10,-0.0005516129225374145
2__11,0.007751146423684935
2__12,-0.0006802015821115726
3__01,0.034749176777852414
3__02,0.0074158245710156945
3__03,0.028162201878542542
3__04,0.02089413172184898
3__05,0.013383795072554466
3__06,-0.01544096893110114
3__07,-0.0009119625150156296
3__08,0.024947811246496865
3__09,0.027493612886709123
3__10,-0.01028885865958895
3__11,0.006362410425583387
3__12,0.004890209308251819
3__13,0.002575330327455827
3__14,0.011876271872330368
3__15,-0.0038708496272279735
3__16,0.01333043907422482
3__17,0.008774841294583058
3__18,0.008715678399663723
4__01,0.010692010845038347
4__02,0.0028965512485635836
4__03,0.01602153597127609
4__04,0.025346528599390628
4__05,0.0047010049390474595
4__06,0.0049585191232456305
4__07,-0.0029099847359981557
4__08,-0.005431654528840535
4__09,0.005910590910595703
4__10,0.0026263336657977865
4__11,-0.025989151023985635
4__12,0.013084647258888166
4__13,-0.007444801647429611
4__14,0.0031036633000104397
5__01,0.0007521339503619995
5__02,0.00878188704548366
5__03,-0.005654581950423732
